Country,Year,Per Capita,Latitude,Longitude
Afghanistan,2017,0.276852,33,65
Armenia,2017,1.942603,40,45
Azerbaijan,2017,3.436113,40.5,47.5
Bahrain,2017,22.538732,26,50.55
Bangladesh,2017,0.498975,24,90
Bhutan,2017,1.638922,27.5,90.5
Cambodia,2017,0.789911,13,105
China,2017,7.098687,35.8617,104.1954
Cyprus,2017,6.226911,35,33
Dem. Rep. Korea,2017,2.027557,40,127
Georgia,2017,2.696924,42,43.5
India,2017,1.798018,20,77
Indonesia,2017,2.14464,-5,120
Iraq,2017,5.343389,33,44
Iran,2017,8.110771,32,53
Israel,2017,7.081456,31.5,34.75
Japan,2017,9.382092,36,138
Jordan,2017,2.489242,31,36
Kazakhstan,2017,17.515408,48,68
Kuwait,2017,23.258194,29.5,47.75
Kyrgyzstan,2017,1.527148,41,75
Lao PDR,2017,2.812815,18,105
Lebanon,2017,4.558052,33.83,35.83
Malaysia,2017,7.762197,2.5,112.5
Maldives,2017,3.203001,3.25,73
Mongolia,2017,11.025526,46,105
Myanmar,2017,0.451919,22,98
Nepal,2017,0.413276,28,84
Oman,2017,15.1083,21,57
Pakistan,2017,0.998978,30,70
Philippines,2017,1.266179,13,122
Qatar,2017,36.942875,25.5,51.25
Korea,2017,12.70659,37,127.5
Saudi Arabia,2017,18.823627,25,45
Singapore,2017,6.445782,1.37,103.8
Sri Lanka,2017,1.070845,7,81
Syria,2017,1.717992,35,38
Taiwan,2017,12.035526,23.5,121
Tajikistan,2017,0.880432,39,71
Thailand,2017,4.133733,15,100
Timor-Leste,2017,0.509857,-8.83,125.75
Turkey,2017,5.240849,39,35
Turkmenistan,2017,12.291226,40,60
United Arab Emirates,2017,23.615904,24,54
Uzbekistan,2017,3.409875,41,64
Yemen,2017,0.35255,15,48
Vietnam,2017,2.42,14.0583,108.2772
Afghanistan,2018,0.294876,33,65
Armenia,2018,2.053823,40,45
Azerbaijan,2018,3.405638,40.5,47.5
Bahrain,2018,22.044145,26,50.55
Bangladesh,2018,0.503982,24,90
Bhutan,2018,1.770616,27.5,90.5
Cambodia,2018,0.897845,13,105
China,2018,7.306542,35.8617,104.1954
Cyprus,2018,6.024253,35,33
Dem. Rep. Korea,2018,1.857773,40,127
Georgia,2018,2.667462,42,43.5
India,2018,1.899518,20,77
Indonesia,2018,2.260322,-5,120
